Work Item Type,Requesting Dept/Agency,Received,Support Team,Category,Q1 - Courtesy,Q2 - Technical,Q3 - Timeliness,Q4 - Quality,Q5 - Overall
Service Request,Sheriff's Office,2/5/2016,The ISD Integrated Justice System Team,Countywide Business Software,1,1,1,1,1
Incident,Information Systems,1/11/2016,The ISD Datacenter Operations Team,Countywide Business Software,1,1,1,1,1
Service Request,Information Systems,6/10/2016,The ISD Service Desk,Other,1,1,1,1,1
Service Request,Independent Office of Law Enforcement Review and Outreach,4/29/2016,The ISD Service Desk,Other,1,2,4,2,2
Service Request,Grand Jury,12/11/2015,The ISD Desktop Support Team,Other,1,1,1,1,3
Service Request,Transportation & Public Works,6/26/2015,The ISD Desktop Support Team,Other,1,2,5,3,3
Service Request,,7/22/2016,The ISD Desktop Support Team,Personal Computer (PC),1,1,1,1,1
Incident,Health Services,9/15/2015,The ISD Desktop Support Team,Laptop,2,2,2,2,2
Service Request,General Services,7/31/2015,The ISD Desktop Support Team,Other,2,2,2,2,2
Incident,Fire and Emergency Services,10/14/2015,The ISD Desktop Support Team,"Printing, Imaging & Graphics",2,3,,2,2
Service Request,Sheriff Admin,5/13/2016,The ISD Web Services Team,Countywide Business Software,3,3,1,3,3
Service Request,General Services,2/19/2016,The ISD Web Services Team,Countywide Business Software,3,3,,,2
Service Request,Human Resources,12/18/2015,The ISD Desktop Support Team,Countywide Business Software,3,4,3,3,3
Service Request,Transportation & Public Works,10/30/2015,The ISD Web Services Team,Countywide Business Software,3,3,4,3,3
Service Request,Board of Supervisors,10/16/2015,The ISD Web Services Team,Countywide Business Software,3,3,3,3,3
Incident,Sheriff's Office,9/14/2015,The ISD Desktop Support Team,Countywide Business Software,3,3,3,3,3
Service Request,Grand Jury,9/4/2015,The ISD Desktop Support Team,Countywide Business Software,3,4,1,3,3
Incident,Sheriff's Office,9/4/2015,The ISD Desktop Support Team,General Business Software,3,3,3,3,3
Service Request,Auditor-Controller-Treasurer-Tax Collector,9/11/2015,The ISD Desktop Support Team,Imaging Device,3,4,3,3,3
Service Request,Health Services,6/10/2016,The ISD Service Desk,Inkjet Printer,3,5,5,4,4
Service Request,County Administrator,4/29/2016,The ISD Service Desk,IT Management Software,3,4,4,3,3
Service Request,Probation,1/8/2016,The ISD Service Desk,IT Management Software,3,3,3,3,3
Incident,Health Services,5/18/2016,The ISD Service Desk,Laser Printer,3,4,5,4,4
Service Request,UC Cooperative Extension,4/29/2016,The ISD Desktop Support Team,Other,3,3,3,3,3
Service Request,Human Resources,2/26/2016,The ISD Desktop Support Team,Other,3,4,5,5,4
Service Request,Health Services,6/5/2015,The ISD Service Desk,Other,3,3,3,3,3
Service Request,Information Systems,1/29/2016,The ISD Network Infrastructure Team,Access Control Appliance,4,5,5,5,5
Service Request,Human Resources,8/7/2015,The ISD Network Infrastructure Team,Access Control Appliance,4,4,4,4,4
Service Request,Sheriff's Office,10/30/2015,The ISD Service Desk,Cellular Phone,4,4,5,5,5
Service Request,District Attorney,6/3/2016,The ISD Integrated Justice System Team,Countywide Business Software,4,4,4,4,4
Service Request,Human Resources,5/13/2016,The ISD Web Services Team,Countywide Business Software,4,4,4,4,4
Service Request,Sheriff's Office,4/1/2016,The ISD Integrated Justice System Team,Countywide Business Software,4,5,3,4,4
Service Request,Information Systems,3/25/2016,The ISD Application Services Team,Countywide Business Software,4,5,4,5,5
Service Request,Community Development Commission,3/25/2016,The ISD Web Services Team,Countywide Business Software,4,5,5,5,5
Incident,Auditor-Controller-Treasurer-Tax Collector,3/14/2016,The ISD Service Desk,Countywide Business Software,4,4,5,5,5
Service Request,Health Services,3/11/2016,The ISD Desktop Support Team,Countywide Business Software,4,5,2,,4
Incident,Community Development Commission,3/9/2016,The ISD Desktop Support Team,Countywide Business Software,4,5,5,5,5
Incident,Information Systems,2/18/2016,The ISD Service Desk,Countywide Business Software,4,4,5,5,5
Incident,Sheriff's Office,2/7/2016,The ISD Desktop Support Team,Countywide Business Software,4,4,5,4,4
Service Request,Probation,1/29/2016,The ISD Web Services Team,Countywide Business Software,4,4,4,5,4
Service Request,Human Resources,12/4/2015,The ISD Web Services Team,Countywide Business Software,4,4,4,4,4
Service Request,Health Services,12/4/2015,The ISD Desktop Support Team,Countywide Business Software,4,5,4,4,4
Service Request,Health Services,11/6/2015,The ISD Desktop Support Team,Countywide Business Software,4,5,3,4,5
Service Request,Agricultural Commissioner,9/25/2015,The ISD Web Services Team,Countywide Business Software,4,4,4,4,4
Service Request,Permit & Resource Management,9/18/2015,The ISD Service Desk,Countywide Business Software,4,4,4,4,4
Service Request,Sonoma County Transportation Authority,9/18/2015,The ISD Web Services Team,Countywide Business Software,4,4,3,4,4
Incident,Community Development Commission,9/17/2015,The ISD Service Desk,Countywide Business Software,4,,5,,4
Service Request,Board of Supervisors,8/21/2015,The ISD Web Services Team,Countywide Business Software,4,4,5,4,4
Service Request,Information Systems,8/14/2015,The ISD Service Desk,Countywide Business Software,4,4,4,4,4
